name,shape,in_dim,out_dim,act_input_source,distribution,quantizer,risk,notes
layers.2.blocks.8.mlp.fc1,"(1536, 384)",384,1536,LayerNorm(norm2).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.2.blocks.8.mlp.fc2,"(384, 1536)",1536,384,GELU.out,"asymmetric: tail in +, clipped at ~-0.17 in -",asymmetric-uniform-A4,med,GELU output has nonzero mean; needs asymmetric quantizer
layers.2.blocks.9.attn.qkv,"(1152, 384)",384,1152,LayerNorm(norm1).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.2.blocks.9.attn.proj,"(384, 384)",384,384,attn @ V (post-softmax aggregation),mixed; depends on attention sparsity,uniform-channel-A4,med,If softmax peaks (sparse attn) → outliers; channel-wise helps
layers.2.blocks.9.mlp.fc1,"(1536, 384)",384,1536,LayerNorm(norm2).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.2.blocks.9.mlp.fc2,"(384, 1536)",1536,384,GELU.out,"asymmetric: tail in +, clipped at ~-0.17 in -",asymmetric-uniform-A4,med,GELU output has nonzero mean; needs asymmetric quantizer
layers.2.blocks.10.attn.qkv,"(1152, 384)",384,1152,LayerNorm(norm1).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.2.blocks.10.attn.proj,"(384, 384)",384,384,attn @ V (post-softmax aggregation),mixed; depends on attention sparsity,uniform-channel-A4,med,If softmax peaks (sparse attn) → outliers; channel-wise helps
layers.2.blocks.10.mlp.fc1,"(1536, 384)",384,1536,LayerNorm(norm2).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.2.blocks.10.mlp.fc2,"(384, 1536)",1536,384,GELU.out,"asymmetric: tail in +, clipped at ~-0.17 in -",asymmetric-uniform-A4,med,GELU output has nonzero mean; needs asymmetric quantizer
layers.2.blocks.11.attn.qkv,"(1152, 384)",384,1152,LayerNorm(norm1).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.2.blocks.11.attn.proj,"(384, 384)",384,384,attn @ V (post-softmax aggregation),mixed; depends on attention sparsity,uniform-channel-A4,med,If softmax peaks (sparse attn) → outliers; channel-wise helps
layers.2.blocks.11.mlp.fc1,"(1536, 384)",384,1536,LayerNorm(norm2).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.2.blocks.11.mlp.fc2,"(384, 1536)",1536,384,GELU.out,"asymmetric: tail in +, clipped at ~-0.17 in -",asymmetric-uniform-A4,med,GELU output has nonzero mean; needs asymmetric quantizer
layers.2.blocks.12.attn.qkv,"(1152, 384)",384,1152,LayerNorm(norm1).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.2.blocks.12.attn.proj,"(384, 384)",384,384,attn @ V (post-softmax aggregation),mixed; depends on attention sparsity,uniform-channel-A4,med,If softmax peaks (sparse attn) → outliers; channel-wise helps
layers.2.blocks.12.mlp.fc1,"(1536, 384)",384,1536,LayerNorm(norm2).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.2.blocks.12.mlp.fc2,"(384, 1536)",1536,384,GELU.out,"asymmetric: tail in +, clipped at ~-0.17 in -",asymmetric-uniform-A4,med,GELU output has nonzero mean; needs asymmetric quantizer
layers.2.blocks.13.attn.qkv,"(1152, 384)",384,1152,LayerNorm(norm1).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.2.blocks.13.attn.proj,"(384, 384)",384,384,attn @ V (post-softmax aggregation),mixed; depends on attention sparsity,uniform-channel-A4,med,If softmax peaks (sparse attn) → outliers; channel-wise helps
layers.2.blocks.13.mlp.fc1,"(1536, 384)",384,1536,LayerNorm(norm2).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.2.blocks.13.mlp.fc2,"(384, 1536)",1536,384,GELU.out,"asymmetric: tail in +, clipped at ~-0.17 in -",asymmetric-uniform-A4,med,GELU output has nonzero mean; needs asymmetric quantizer
layers.2.blocks.14.attn.qkv,"(1152, 384)",384,1152,LayerNorm(norm1).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.2.blocks.14.attn.proj,"(384, 384)",384,384,attn @ V (post-softmax aggregation),mixed; depends on attention sparsity,uniform-channel-A4,med,If softmax peaks (sparse attn) → outliers; channel-wise helps
layers.2.blocks.14.mlp.fc1,"(1536, 384)",384,1536,LayerNorm(norm2).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.2.blocks.14.mlp.fc2,"(384, 1536)",1536,384,GELU.out,"asymmetric: tail in +, clipped at ~-0.17 in -",asymmetric-uniform-A4,med,GELU output has nonzero mean; needs asymmetric quantizer
layers.2.blocks.15.attn.qkv,"(1152, 384)",384,1152,LayerNorm(norm1).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.2.blocks.15.attn.proj,"(384, 384)",384,384,attn @ V (post-softmax aggregation),mixed; depends on attention sparsity,uniform-channel-A4,med,If softmax peaks (sparse attn) → outliers; channel-wise helps
layers.2.blocks.15.mlp.fc1,"(1536, 384)",384,1536,LayerNorm(norm2).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.2.blocks.15.mlp.fc2,"(384, 1536)",1536,384,GELU.out,"asymmetric: tail in +, clipped at ~-0.17 in -",asymmetric-uniform-A4,med,GELU output has nonzero mean; needs asymmetric quantizer
layers.2.blocks.16.attn.qkv,"(1152, 384)",384,1152,LayerNorm(norm1).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.2.blocks.16.attn.proj,"(384, 384)",384,384,attn @ V (post-softmax aggregation),mixed; depends on attention sparsity,uniform-channel-A4,med,If softmax peaks (sparse attn) → outliers; channel-wise helps
layers.2.blocks.16.mlp.fc1,"(1536, 384)",384,1536,LayerNorm(norm2).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.2.blocks.16.mlp.fc2,"(384, 1536)",1536,384,GELU.out,"asymmetric: tail in +, clipped at ~-0.17 in -",asymmetric-uniform-A4,med,GELU output has nonzero mean; needs asymmetric quantizer
layers.2.blocks.17.attn.qkv,"(1152, 384)",384,1152,LayerNorm(norm1).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.2.blocks.17.attn.proj,"(384, 384)",384,384,attn @ V (post-softmax aggregation),mixed; depends on attention sparsity,uniform-channel-A4,med,If softmax peaks (sparse attn) → outliers; channel-wise helps
layers.2.blocks.17.mlp.fc1,"(1536, 384)",384,1536,LayerNorm(norm2).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.2.blocks.17.mlp.fc2,"(384, 1536)",1536,384,GELU.out,"asymmetric: tail in +, clipped at ~-0.17 in -",asymmetric-uniform-A4,med,GELU output has nonzero mean; needs asymmetric quantizer
layers.3.downsample.reduction,"(768, 1536)",1536,768,LayerNorm(downsample.norm).out (concatenated 2x2 patches),Gaussian-like but 4x channel concat → wider variance per channel,uniform-channel-A8 (if quantized),med,Cross-resolution; sensitive
layers.3.blocks.0.attn.qkv,"(2304, 768)",768,2304,LayerNorm(norm1).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.3.blocks.0.attn.proj,"(768, 768)",768,768,attn @ V (post-softmax aggregation),mixed; depends on attention sparsity,uniform-channel-A4,med,If softmax peaks (sparse attn) → outliers; channel-wise helps
layers.3.blocks.0.mlp.fc1,"(3072, 768)",768,3072,LayerNorm(norm2).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.3.blocks.0.mlp.fc2,"(768, 3072)",3072,768,GELU.out,"asymmetric: tail in +, clipped at ~-0.17 in -",asymmetric-uniform-A4,med,GELU output has nonzero mean; needs asymmetric quantizer
layers.3.blocks.1.attn.qkv,"(2304, 768)",768,2304,LayerNorm(norm1).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.3.blocks.1.attn.proj,"(768, 768)",768,768,attn @ V (post-softmax aggregation),mixed; depends on attention sparsity,uniform-channel-A4,med,If softmax peaks (sparse attn) → outliers; channel-wise helps
layers.3.blocks.1.mlp.fc1,"(3072, 768)",768,3072,LayerNorm(norm2).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.3.blocks.1.mlp.fc2,"(768, 3072)",3072,768,GELU.out,"asymmetric: tail in +, clipped at ~-0.17 in -",asymmetric-uniform-A4,med,GELU output has nonzero mean; needs asymmetric quantizer
head.fc,"(1000, 768)",768,1000,LayerNorm(final norm).out + global pool,"Gaussian, near-zero-mean",KEEP FP (or A8),high,Last layer; quantize → logits noise → top-1 drop
<block>.attn.q_at_kT,"(B*nW, heads, N, N)",,,Q @ K.T / sqrt(d_head),"long-tail, mostly small + few large peaks",log2 / power-of-2,high,feeds softmax; uniform quantization clips large peaks
<block>.attn.softmax_out,"(B*nW, heads, N, N)",,,softmax(QK^T + rel_pos_bias),"[0,1] heavy-tail (most ≈0, few near 1)",log2 (post-softmax specialized),high,attention sparsity → most values tiny; linear quantizer wastes range
